#DESCRIPCIÓN FUNCIONAL ,CÓDIGO FUNCIONAL,CÓDIGO ECONÓMICO,FECHA,TERCERO,f,g,DESCRIPCIÓN,IMPORTE PAGO
Administración General.                 ,9200,22200,2017-01-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONIA FIJA DICIEMBRE                                                                                                                                                      ,2083.14
Funcionamiento de centros docentes de en,3232,22200,2017-01-02,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO ENERO                                                                                                                                                           ,355.99
Política económica y fiscal.            ,9310,22604,2017-01-03,CAJA RURAL DE NAVARRA S.C.CT.                                                             ,,,TARIFA PLANA 2017 COMISIONES DOMIC.Y DEV. RECIBOS IMPTOS(APROB JGL 13/03/17)                                                                                                        ,600
Alumbrado público.                      ,1650,22100,2017-01-03,IBERDROLA COMERCIALIZADORA ULTIMO                                                         ,RECURSO SAU                             ,,LUZ COPROPIETARIOS DICIEMBRE                                                                                                                                                        ,14.04
Parques y jardines                      ,1710,21400,2017-01-04,REVISIONES DE NAVARRA S.A.                                                                ,,,ITV NISSAN CABSTAR JARDINES                                                                                                                                                         ,37.05
Parques y jardines                      ,1710,22101,2017-01-04,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA NOVIEMBRE                                                                                                                                                                ,54.34
Consultorios y centros de salud         ,3121,22101,2017-01-04,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA NOVIEMBRE                                                                                                                                                                ,102.57
Administración General.                 ,9200,22101,2017-01-04,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA NOVIEMBRE                                                                                                                                                                ,121.63
Otros servicios comunitarios y sociales ,2399,22101,2017-01-04,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA NOVIEMBRE                                                                                                                                                                ,144.85
Parques y jardines                      ,1710,22101,2017-01-04,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA NOVIEMBRE                                                                                                                                                                ,327.95
Escuelas infantiles                     ,3231,22101,2017-01-04,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA NOVIEMBRE                                                                                                                                                                ,349.97
Parques y jardines                      ,1710,22101,2017-01-04,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,FRAS AGUA BAJA JARDINES                                                                                                                                                             ,930.39
Funcionamiento de centros docentes de en,3232,22101,2017-01-04,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA NOVIEMBRE                                                                                                                                                                ,1005.27
Parques y jardines                      ,1710,22103,2017-01-04,SOCIEDAD COOPERATIVA CEREALISTA DE URROZ                                                  ,VILLA                                   ,,GASOLINA JARDINES DICIEMBRE                                                                                                                                                         ,66.57
Otros servicios de bienestar comunitario,1690,22103,2017-01-04,SOCIEDAD COOPERATIVA CEREALISTA DE URROZ                                                  ,VILLA                                   ,,GASOLINA DICIEMBRE SM                                                                                                                                                               ,142.44
Policía Local                           ,1321,22103,2017-01-04,SOCIEDAD COOPERATIVA CEREALISTA DE URROZ                                                  ,VILLA                                   ,,GASOLINA POLICIA DICIEMBRE                                                                                                                                                          ,386.2
Desarrollo empresarial.                 ,4330,22100,2017-01-09,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ DICIEMBRE                                                                                                                                                                 ,284.17
Consultorios y centros de salud         ,3121,22100,2017-01-09,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ DICIEMBRE                                                                                                                                                                 ,404.2
Escuelas de música                      ,3261,22100,2017-01-09,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ DICIEMBRE                                                                                                                                                                 ,464.71
Otros servicios comunitarios y sociales ,2399,22100,2017-01-09,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ DICIEMBRE                                                                                                                                                                 ,919.36
