#N. Registro,Fecha Reg.,Tipo,Tercero,Importe,IVA,Descripción
2016001114.0,2016-01-04,ADO1,HISPANOFIL  ,63.89,0.0,500 BRIDAS L287 500 BRIDAS L370  PARA CARPAS
2016001115.0,2016-01-08,ADO1,M2 MOTOR  ,1190.76,0.0,"REPARA NA9791BB(FTRANSIT) BOMBA INYECTORA, MANGUITO, ANTICONGELANTE                                                     "
2016001116.0,2016-01-11,ADO1,OCHOA LACAR HERMANOS S.L.  ,123.69,0.0,"1 MANGUITO ANTIV C/B DN-150, 16 TORNILLOS EXAG, 16 TUERCAS (JARDINES)                                                   "
2016001117.0,2016-01-12,ADO1,GIL ESPINOSA Mª PILAR,224.9,0.0,SERVICIOS PRESTADOS ENERO(PODOLOGA)
2016001118.0,2016-01-12,ADO1,BORDATXURI  ,1207.25,0.0,SUSTITUCION CENTRALITE CALDERA NUM 1 BLOQUE DE GAS CALDERA NUM 2 ESCUELA INFANTIL
2016001119.0,2016-01-08,ADO1,ARESO  ,121.0,0.0,"4 GUANTE VINILO TM C/1000, 1 GUANTE VINILO TP C/1000 SAD                                                                "
2016001120.0,2016-01-15,ADO1,REGABER  ,193.71,0.0,"1 CIERRE PISTON, 1CONO GUIA, 1KIT OBTURADOR JARDINES                                                                    "
2016001121.0,2016-01-13,ADO1,FERNANDEZ Y ARISTU SERVICIOS HOSTELEROS SL ,1500.0,0.0,1500 MONTADITO TXISTORRA CARRERA SAN SILVESTRE
2016001122.0,2016-01-12,ADO1,ESPECTACULOS TIC TAK S.L.  ,1815.0,0.0,ACTUACIONES CABALGATA: ANIMACION MUÑECOS Y ACTUACION GRUPO AUSKALO
2016001123.0,2016-01-12,ADO1,AUSKALO TALDEA  ,700.0,0.0,KALEJIRA 5 ENERO CABALGATA
2016001124.0,2016-01-12,ADO1,TITOS ARREDONDO ISABEL,157.5,0.0,"CURSO FRANCES B1 5 X 1,5 HORAS DICIEMBRE 15                                                                             "
2016001125.0,2016-01-13,ADO1,SOCIEDAD GENERAL DE AUTORES Y EDITORES  ,522.49,0.0,DERECHOS AUTOR VARIAS ACTUACIONES (F.SARRIGUREN)
2016001126.0,2016-01-19,ADO1,"DINAFAX, S.L.  ",147.34,0.0,ESC.MUSICA: 13.530 COPIAS BN DE 15/09/15 A 12/01/16 (164.730 FINAL)
2016001127.0,2016-01-13,ADO1,CANON COPIADORAS DE NAVARRA S.L.  ,176.56,0.0,COPIAS U-IRAC5035I SSB (DE 01/12/15 A 02/01/16) 2257 BN 2577 COLOR
2016001130.0,2016-01-19,ADO1,SICAL  ,158.32,0.0,1 LATERAL D700 1 LATERAL D500 BARREDORA CEPILLOS
