a,b,c,d,e,f,g,h,i,j,k,l,m,n,o
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,AYUNTAMIENTO DEL VALLE DE EGÜES 
,,,,,,,,,,,,,,Contabilidad 
,,,,,,,,,,,,,,EGUESIBARko UDALA 
,,,,,,,AYUNTAMIENTO DEL VALLE DE EGÜES,,,,,,,
,,,,,,,,,,,,,,Kontabilitatea 
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2019,,,,,,,,ESTADO DE EJECUCIÓN DETALLADO DEL PRESUPUESTO DE INGRESOS,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Criterios de selección :,,,Ejercicio : ,2019,,Fecha :,2019-04-16,Presupuesto,2019,,Saldo,Contable,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Partida,,Descripción,,,,,Previsiones ,,Previsiones ,Derechos  ,,Recaudación  ,Saldo  ,
,,,,,,,Iniciales ,,Definitivas ,Reconocidos ,,Total ,Partida ,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,1130000,CONTRIBUCION TERRITORIAL,,,,,,2945000,2945000,23346.09,,1000.41,2921653.91,
,,,,,,,,,,,,,,
1,1150000,IVTM,,,,,,840000,840000,909216.07,,30130.28,-69216.07,
,,,,,,,,,,,,,,
1,1160000,IVTNU PLUSVALIA,,,,,,180000,180000,271857.05,,221429.72,-91857.05,
,,,,,,,,,,,,,,
1,1170000,IMPUESTO SOBRE VIVIENDAS DESHABITADAS,,,,,,5000,5000,0,,0,5000,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,11,IMPUESTOS SOBRE EL CAPITAL.,,,,,3970000,3970000,1204419.21,,252560.41,2765580.79,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,1300000,IAE,,,,,,300000,300000,16948.01,,10896.58,283051.99,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,13,IMPUESTO SOBRE ACTIVIDADES ECONÓMICAS.,,,,,300000,300000,16948.01,,10896.58,283051.99,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,1910200,COTO CAZA USTARROZ,,,,,,100,100,106.93,,106.93,-6.93,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,19,OTROS IMPUESTOS DIRECTOS.,,,,,100,100,106.93,,106.93,-6.93,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL ,,,,,,,,,,,,,,
Capítulo ,1,IMPUESTOS DIRECTOS.,,,,,,4270100,4270100,1221474.15,,263563.92,3048625.85,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,2900000,ICIO,,,,,,520000,520000,54352.19,,51081.98,465647.81,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,29,OTROS IMPUESTOS INDIRECTOS.,,,,,520000,520000,54352.19,,51081.98,465647.81,
