a,b,c,d,e,f,g,h,i,j,k,l,m,n,o
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,AYUNTAMIENTO DEL VALLE DE EGÜES 
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Contabilidad 
,,,,,,,,,,,,,,EGUESIBARko UDALA 
,,,,,,,AYUNTAMIENTO DEL VALLE DE EGÜES,,,,,,,
,,,,,,,,,,,,,,Kontabilitatea 
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2018,,,,,,,,ESTADO DE EJECUCIÓN GASTOS POR CAPÍTULOS,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Criterios de selección :,,,Presupuesto,2018,Fecha :,31/12/2018,,Desde Capítulo,0,Hasta Capítulo,9,Saldo,Contable,
,,,,,,,,,,,,,,
,,Partida,Descripción,,,Previsiones ,,Previsiones ,Autorización,Disposición,Obligaciones ,Pagos,Cto.Disponible,
,,,,,,Iniciales ,,Definitivas ,,,Reconocidas ,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,,13210,11000,RETRIB. BASICAS JEFE POLICIA,,,57400,57400,57376.62,57376.62,57376.62,,57376.62,23.38
1,,13210,11001,RETRIBUCIONES COMPLEMENTARIAS JEFE POLIC,,,0,0,695.99,695.99,695.99,,695.99,-695.99
1,,13210,12002,RETRIBUCIONES BASICAS POLICIA NIVEL B,,,22200,22200,22048.81,22048.81,22048.81,,22048.81,151.19
1,,13210,12003,RETRIB.BASICAS PERSONAL POLICIA,,,352000,352000,276345.52,276345.52,276345.52,,276345.52,75654.48
1,,13210,12004,RETRIB. BASICAS AUXILIARES POLICIA,,,48000,48000,13027.27,13027.27,13027.27,,13027.27,34972.73
1,,13210,12006,ANTIGÜEDAD PERSONAL POLICIA,,,14000,14000,10881.89,10881.89,10881.89,,10881.89,3118.11
1,,13210,12007,RETRIBUCION GRADO PERSONAL POLICIA,,,60000,60000,50631.87,50631.87,50631.87,,50631.87,9368.13
1,,13210,12103,RETRIB.COMPLEMENTARIAS PERSONAL POLICIA,,,360000,360000,294738.49,294738.49,294738.49,,294738.49,65261.51
1,,13210,12403,SUELDO NIVEL C FUNCIONARIO PRACTICAS,,,0,0,34843.82,34843.82,34843.82,,34843.82,-34843.82
1,,13210,12406,ANTIGUEDAD PERSONAL FUNC.PRACTICAS,,,0,0,474.67,474.67,474.67,,474.67,-474.67
1,,13210,16000,SEGURIDAD SOCIAL PERSONAL POLICIA Y AUXI,,,230000,230000,230000,230000,185688.21,,167768.69,0
1,,13210,16200,FORMACION AGENTES DE POLICIA,,,2000,2000,370,370,370,,60,1630
1,,13210,16400,AYUDA FAMILIAR AGENTES POLICIA Y AUXILIA,,,12000,12000,10071.22,10071.22,10071.22,,10071.22,1928.78
1,,15100,12000,RETRIB. BASICAS PERSONAL ARQUITECTURA UR,,,52600,52600,52401.23,52401.23,52401.23,,52401.23,198.77
1,,15100,12002,RETRIB.BASICAS APAREJADOR URBANISMO,,,22200,22200,22034.62,22034.62,22034.62,,22034.62,165.38
