#DESCRIPCIÓN FUNCIONAL ,CÓDIGO FUNCIONAL,CÓDIGO ECONÓMICO,FECHA,TERCERO,f,g,DESCRIPCIÓN,IMPORTE PAGO
Promoción cultural                      ,3340,22750,2016-01-04,GOLOSINAS SAGASTI S.L.                                                                    ,,,40 KG CARAMELOS+GLOBOS (VARIOS CABALGATA REYES)                                                                                                                                     ,187.57
Parques y jardines                      ,1710,22799,2016-01-05,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,SUMINISTRO DE AGUA MES DE NOVIEMBRE                                                                                                                                                 ,48.77
Consultorios y centros de salud         ,3121,22101,2016-01-05,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,SUMINISTRO DE AGUA MES DE NOVIEMBRE                                                                                                                                                 ,104.21
Administración General.                 ,9200,22101,2016-01-05,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,SUMINISTRO DE AGUA MES DE NOVIEMBRE                                                                                                                                                 ,109.65
Otros servicios comunitarios y sociales ,2399,22101,2016-01-05,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,SUMINISTRO DE AGUA MES DE NOVIEMBRE                                                                                                                                                 ,135.43
Escuelas infantiles                     ,3231,22101,2016-01-05,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,SUMINISTRO DE AGUA MES DE NOVIEMBRE                                                                                                                                                 ,316.32
Parques y jardines                      ,1710,22101,2016-01-05,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,SUMINISTRO DE AGUA MES DE NOVIEMBRE                                                                                                                                                 ,334.99
Funcionamiento de centros docentes de en,3232,22101,2016-01-05,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,SUMINISTRO DE AGUA MES DE NOVIEMBRE                                                                                                                                                 ,1061.05
Alumbrado público.                      ,1650,22100,2016-01-07,IBERDROLA COMERCIALIZADORA ULTIMO                                                         ,RECURSO SAU                             ,,FRAS SUMINISTRO ENERGIA ELECTRICA DICIEMBRE                                                                                                                                         ,2867.89
Parques y jardines                      ,1710,22103,2016-01-07,SOCIEDAD COOPERATIVA CEREALISTA DE URROZ                                                  ,VILLA                                   ,,2 VTA GASOLINA DIC.15 A JARDINES                                                                                                                                                    ,92.51
Otros servicios de bienestar comunitario,1690,22104,2016-01-07,SOCIEDAD COOPERATIVA CEREALISTA DE URROZ                                                  ,VILLA                                   ,,3 TICKETS VTA GASOLINA 95 (DIC.15)                                                                                                                                                  ,106.17
Escuelas infantiles                     ,3231,22200,2016-01-07,TELEFONICA MOVILES                                                                        ,,,CONSUMO TELEFONIA MOVIL 18-10/17-11                                                                                                                                                 ,5.56
Promoción y fomento del deporte.        ,3410,22200,2016-01-07,TELEFONICA MOVILES                                                                        ,,,CONSUMO TELEFONIA MOVIL 18-10/17-11                                                                                                                                                 ,19.6
Escuelas de música                      ,3261,22200,2016-01-07,TELEFONICA MOVILES                                                                        ,,,CONSUMO TELEFONIA MOVIL 18-10/17-11                                                                                                                                                 ,22.53
Parques y jardines                      ,1710,21000,2016-01-07,TELEFONICA MOVILES                                                                        ,,,CONSUMO TELEFONIA MOVIL 18-10/17-11                                                                                                                                                 ,32.51
Alumbrado público.                      ,1650,21900,2016-01-07,TELEFONICA MOVILES                                                                        ,,,CONSUMO TELEFONIA MOVIL 18-10/17-11                                                                                                                                                 ,39.93
Funcionamiento de centros docentes de en,3232,22200,2016-01-07,TELEFONICA MOVILES                                                                        ,,,CONSUMO TELEFONIA MOVIL 18-10/17-11                                                                                                                                                 ,51.78
Promoción cultural                      ,3340,22200,2016-01-07,TELEFONICA MOVILES                                                                        ,,,CONSUMO TELEFONIA MOVIL 18-10/17-11                                                                                                                                                 ,69.74
Consultorios y centros de salud         ,3121,22200,2016-01-07,TELEFONICA MOVILES                                                                        ,,,CONSUMO TELEFONIA MOVIL 18-10/17-11                                                                                                                                                 ,75.07
Parques y jardines                      ,1710,22200,2016-01-07,TELEFONICA MOVILES                                                                        ,,,CONSUMO TELEFONIA MOVIL 18-10/17-11                                                                                                                                                 ,96.22
Órganos de gobierno.                    ,9120,22200,2016-01-07,TELEFONICA MOVILES                                                                        ,,,CONSUMO TELEFONIA MOVIL 18-10/17-11                                                                                                                                                 ,102.35
