a,b,c,d,e,f,g,h,i,j,k,l,m,n,AYUNTAMIENTO DEL VALLE DE EGÜES 
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Contabilidad 
,,,,,,,,,,,,,,EGUESIBARko UDALA 
,,,,,,,AYUNTAMIENTO DEL VALLE DE EGÜES,,,,,,,
,,,,,,,,,,,,,,Kontabilitatea 
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2016,,,,,,,,ESTADO DE EJECUCIÓN GASTOS POR CAPÍTULOS,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Criterios de selección :,,,Presupuesto,2016,Fecha :,__/__/____,,Desde Capítulo,0,Hasta Capítulo,9,Saldo,Precontable,
,,,,,,,,,,,,,,
,,Partida,Descripción,,,Previsiones ,,Previsiones ,Autorización,Disposición,Obligaciones ,Pagos,Cto.Disponible,
,,,,,,Iniciales ,,Definitivas ,,,Reconocidas ,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,,13210,11000,RETRIB. BASICAS JEFE POLICIA,,,23600,23600,54405.83,54405.83,54405.83,,54405.83,-30805.83
1,,13210,11001,RETRIB.COMPLEMENTARIAS JEFE POLICIA,,,33800,33800,2430.26,2430.26,2430.26,,2430.26,31369.74
1,,13210,12002,RETRIBUCIONES BASICAS POLICIA NIVEL B,,,0,0,6137.56,6137.56,6137.56,,6137.56,-6137.56
1,,13210,12003,RETRIB.BASICAS PERSONAL POLICIA,,,280000,335000,315921.58,315921.58,315921.58,,315921.58,19078.42
1,,13210,12004,RETRIB. BASICAS AUXILIARES POLICIA,,,47000,47000,46981.59,46981.59,46981.59,,46981.59,18.41
1,,13210,12006,ANTIGÜEDAD PERSONAL POLICIA,,,9300,9300,11937.27,11937.27,11937.27,,11937.27,-2637.27
1,,13210,12007,RETRIBUCION GRADO PERSONAL POLICIA,,,41000,51000,51735.32,51735.32,51735.32,,51735.32,-735.32
1,,13210,12009,AYUDA FAMILIAR ATRASOS POLICIA Y AUXILIA,,,5600,5600,5571.96,5571.96,5571.96,,5571.96,28.04
1,,13210,12103,RETRIB.COMPLEMENTARIAS PERSONAL POLICIA,,,315000,326000,327451.76,327451.76,327451.76,,327451.76,-1451.76
1,,13210,16000,SEGURIDAD SOCIAL PERSONAL POLICIA Y AUXI,,,210000,210000,214090.74,211053.45,211053.45,,194509.7,-4090.74
1,,13210,16200,FORMACION AGENTES DE POLICIA,,,0,0,2996.63,2996.63,2996.63,,2996.63,-2996.63
1,,13210,16400,AYUDA FAMILIAR AGENTES POLICIA Y AUXILIA,,,9500,9500,10523.39,10523.39,10523.39,,10523.39,-1023.39
1,,15100,12000,RETRIB. BASICAS PERSONAL ARQUITECTURA UR,,,51800,51800,51069.2,51069.2,51069.2,,51069.2,730.8
1,,15100,12002,RETRIB.BASICAS APAREJADOR URBANISMO,,,21500,21500,21481.46,21481.46,21481.46,,21481.46,18.54
1,,15100,12003,RETRIB. BASICAS OFICIAL ADMITVIO URBANIS,,,17900,17900,17819.62,17819.62,17819.62,,17819.62,80.38
1,,15100,12006,ANTIGÜEDAD PERSONAL URBANISMO,,,3500,3500,3259.75,3259.75,3259.75,,3259.75,240.25
1,,15100,12007,RETRIBUCION GRADO PERSONAL URBANISMO,,,16000,16000,17237.81,17237.81,17237.81,,17237.81,-1237.81
1,,15100,12103,RETRIB. COMPLEMENTARIAS PERSONAL  URBANI,,,45500,45500,45356.72,45356.72,45356.72,,45356.72,143.28
1,,15100,13100,RETRIBUCIONES PERSONAL TEMPORAL URBANISM,,,0,6000,4703.8,4703.8,4703.8,,4703.8,1296.2
1,,15100,16000,SEGURIDAD SOCIAL PERSONAL URBANISMO,,,33800,34100,35400,35399.05,35399.05,,32539.39,-1300
1,,15100,16400,AYUDA FAMILIAR PERSONAL URBANISMO,,,900,900,819,819,819,,819,81
1,,16300,12004,RETRIB. BASICAS PERSONAL LIMPIEZA VIARIA,,,49000,29000,24365.92,24365.92,24365.92,,24365.92,4634.08
1,,16300,12006,ANTIGÜEDAD PERSONAL LIMPIEZA VIARIA,,,800,800,580.6,580.6,580.6,,580.6,219.4
1,,16300,12103,RETRIB. COMPLEMENTARIAS PERSONAL LIMPIEZ,,,16000,16000,8784.31,8784.31,8784.31,,8784.31,7215.69
1,,16300,13100,RETRIBUCIONES PERSONAL TEMPORAL LIMPIEZA,,,70000,50000,48323.36,48323.36,48323.36,,48323.36,1676.64
1,,16300,16000,SEGURIDAD SOCIAL PERSONAL LIMPIEZA VIARI,,,49000,49000,44083.66,43351.02,43351.02,,35490.42,4916.34
1,,16900,12003,RETRIB. BASICAS PERSONAL SERV.MULT NIVEL,,,72000,72000,70620.97,70620.97,70620.97,,70620.97,1379.03
1,,16900,12004,RETRIB.BASICAS PERSONAL SERV MULT NIVEL,,,49000,49000,54551.54,54551.54,54551.54,,54551.54,-5551.54
1,,16900,12006,ANTIGÜEDAD PERSONAL SERV MULT,,,4000,4000,3382.25,3382.25,3382.25,,3382.25,617.75
1,,16900,12007,RETRIBUCION GRADO PERSONAL SERV.MULT,,,8000,8000,12855.71,12855.71,12855.71,,12855.71,-4855.71
1,,16900,12009,AYUDA FAMILIAR ATRASOS SERV. MULT,,,20100,20100,20081.54,20081.54,20081.54,,20081.54,18.46
1,,16900,12103,RETRIB. COMPLEMENTARIAS PERSONAL SERV MU,,,49000,49000,58422.03,58422.03,58422.03,,58422.03,-9422.03
1,,16900,16000,SEGURIDAD SOCIAL PERSONAL SERVICIOS MULT,,,58000,58000,58000,57869.55,57869.55,,57869.55,0
1,,16900,16200,GASTOS FORMACION PERSONAL SM,,,0,0,1218.4,1218.4,1218.4,,1218.4,-1218.4
1,,16900,16400,AYUDA FAMILIAR PERSONAL SERV. MULT,,,5400,5400,4393.72,4393.72,4393.72,,4393.72,1006.28
