a,b,c,d,e,f,g,h,i,j,k,l,m,n,o
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,AYUNTAMIENTO DEL VALLE DE EGÜES 
,,,,,,,,,,,,,,Contabilidad 
,,,,,,,,,,,,,,EGUESIBARko UDALA 
,,,,,,,AYUNTAMIENTO DEL VALLE DE EGÜES,,,,,,,
,,,,,,,,,,,,,,Kontabilitatea 
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2018,,,,,,,,ESTADO DE EJECUCIÓN DETALLADO DEL PRESUPUESTO DE INGRESOS,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Criterios de selección :,,,Ejercicio : ,2018,,Fecha :,43424.0,Presupuesto,2018,,Saldo,Contable,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Partida,,Descripción,,,,,,Previsiones ,Previsiones ,Derechos  ,,Recaudación  ,Saldo  ,
,,,,,,,,Iniciales ,Definitivas ,Reconocidos ,,Total ,Partida ,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,1130000,CONTRIBUCION TERRITORIAL,,,,,,3000000.0,3000000.0,3100907.78,,1457684.33,-100907.78,
,,,,,,,,,,,,,,
1,1150000,IVTM,,,,,,815000.0,815000.0,879395.96,,818985.13,-64395.96,
,,,,,,,,,,,,,,
1,1160000,IVTNU PLUSVALIA,,,,,,230000.0,230000.0,213046.89,,167087.21,16953.11,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,11,IMPUESTOS SOBRE EL CAPITAL.,,,,,4045000.0,4045000.0,4193350.63,,2443756.67,-148350.63,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,1300000,IAE,,,,,,290000.0,290000.0,329767.48,,284329.7,-39767.48,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,13,IMPUESTO SOBRE ACTIVIDADES ECONÓMICAS.,,,,,290000.0,290000.0,329767.48,,284329.7,-39767.48,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,1910200,COTO CAZA USTARROZ,,,,,,100.0,100.0,106.93,,106.93,-6.93,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,19,OTROS IMPUESTOS DIRECTOS.,,,,,100.0,100.0,106.93,,106.93,-6.93,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL ,,,,,,,,,,,,,,
Capítulo ,1,IMPUESTOS DIRECTOS.,,,,,,4335100.0,4335100.0,4523225.04,,2728193.3,-188125.04,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,2900000,ICIO,,,,,,300000.0,785600.0,1407587.43,,1398093.96,-621987.43,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,29,OTROS IMPUESTOS INDIRECTOS.,,,,,300000.0,785600.0,1407587.43,,1398093.96,-621987.43,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
