#DESCRIPCIÓN FUNCIONAL ,CÓDIGO FUNCIONAL,CÓDIGO ECONÓMICO,FECHA,TERCERO,f,g,DESCRIPCIÓN,IMPORTE PAGO
Promoción cultural                      ,3340,22200,2018-01-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO DICIEMBRE                                                                                                                                                       ,5.82
Otros servicios de bienestar comunitario,1690,22200,2018-01-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO DICIEMBRE                                                                                                                                                       ,56.63
Parques y jardines                      ,1710,22200,2018-01-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO DICIEMBRE                                                                                                                                                       ,57.35
Desarrollo empresarial.                 ,4330,22200,2018-01-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO DICIEMBRE                                                                                                                                                       ,65.05
Promoción y fomento del deporte.        ,3410,22200,2018-01-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO DICIEMBRE                                                                                                                                                       ,90.3
Servicio Social de Base                 ,2311,22200,2018-01-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO DICIEMBRE                                                                                                                                                       ,108.95
Policía Local                           ,1321,22200,2018-01-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO DICIEMBRE                                                                                                                                                       ,152.56
Escuelas de música                      ,3261,22200,2018-01-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO DICIEMBRE                                                                                                                                                       ,209.98
Otros servicios comunitarios y sociales ,2399,22200,2018-01-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO DICIEMBRE                                                                                                                                                       ,227.59
Administración General.                 ,9200,22200,2018-01-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO DICIEMBRE                                                                                                                                                       ,307.06
Funcionamiento de centros docentes de en,3232,22200,2018-01-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO DICIEMBRE                                                                                                                                                       ,315.49
Bibliotecas públicas.                   ,3321,22200,2018-01-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO DICIEMBRE                                                                                                                                                       ,319.35
Escuelas infantiles                     ,3231,22200,2018-01-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO DICIEMBRE                                                                                                                                                       ,333.95
Consultorios y centros de salud         ,3121,22200,2018-01-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO DICIEMBRE                                                                                                                                                       ,500.55
Consultorios y centros de salud         ,3121,22200,2018-01-02,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONIA FIJA ENERO                                                                                                                                                          ,-354.15
Consultorios y centros de salud         ,3121,22200,2018-01-02,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONIA FIJA ENERO                                                                                                                                                          ,354.15
Consultorios y centros de salud         ,3121,22200,2018-01-02,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONIA FIJA ENERO                                                                                                                                                          ,354.15
Promoción cultural                      ,3340,62500,2018-01-03,BALTIK COMPLEMENTOS                                                                       ,,,48 SILLAS+FUNDAS IGLESIA PUEBLO VIEJO                                                                                                                                               ,3555.66
Política económica y fiscal.            ,9310,22604,2018-01-03,CAJA RURAL DE NAVARRA S.C.CT.                                                             ,,,CAJA RURAL TARIFA PLANA 2018                                                                                                                                                        ,600
Parques y jardines                      ,1710,22101,2018-01-03,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA NOVIEMBRE (INCLUYE BAJAS)                                                                                                                                                ,49.07
Consultorios y centros de salud         ,3121,22101,2018-01-03,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA NOVIEMBRE (INCLUYE BAJAS)                                                                                                                                                ,99.43
Administración General.                 ,9200,22101,2018-01-03,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA NOVIEMBRE (INCLUYE BAJAS)                                                                                                                                                ,119.99
Otros servicios comunitarios y sociales ,2399,22101,2018-01-03,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA NOVIEMBRE (INCLUYE BAJAS)                                                                                                                                                ,149.91
Parques y jardines                      ,1710,22101,2018-01-03,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA NOVIEMBRE (INCLUYE BAJAS)                                                                                                                                                ,282.53
Escuelas infantiles                     ,3231,22101,2018-01-03,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA NOVIEMBRE (INCLUYE BAJAS)                                                                                                                                                ,309.29
Parques y jardines                      ,1710,22199,2018-01-03,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,TRANSPORTE Y EL  RECEBO PARA JARDINES NOVIEMBRE                                                                                                                                     ,468.56
Funcionamiento de centros docentes de en,3232,22101,2018-01-03,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA NOVIEMBRE (INCLUYE BAJAS)                                                                                                                                                ,1193.65
Otros servicios de bienestar comunitario,1690,22103,2018-01-04,SOCIEDAD COOPERATIVA CEREALISTA DE URROZ                                                  ,VILLA                                   ,,3 TICKETS GASOLINA DICIEMBRE SM                                                                                                                                                     ,139.09
Policía Local                           ,1321,22103,2018-01-04,SOCIEDAD COOPERATIVA CEREALISTA DE URROZ                                                  ,VILLA                                   ,,14 TICKETS GASOLINA PM DICIEMBRE                                                                                                                                                    ,545.96
Desarrollo empresarial.                 ,4330,22100,2018-01-05,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ DICIEMBRE                                                                                                                                                                 ,247.94
