a,b,c,d,e,f,g,h,i,j,k,l,m,n,o
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,AYUNTAMIENTO DEL VALLE DE EGÜES 
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Contabilidad 
,,,,,,,,,,,,,,EGUESIBARko UDALA 
,,,,,,,AYUNTAMIENTO DEL VALLE DE EGÜES,,,,,,,
,,,,,,,,,,,,,,Kontabilitatea 
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2018,,,,,,,,ESTADO DE EJECUCIÓN GASTOS POR CAPÍTULOS,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Criterios de selección :,,,Presupuesto,2018,Fecha :,__/__/____,,Desde Capítulo,0,Hasta Capítulo,9,,Saldo,Contable
,,,,,,,,,,,,,,
,,Partida,Descripción,,,,Previsiones ,Previsiones ,Autorización,Disposición,Obligaciones ,,Pagos,Cto.Disponible
,,,,,,,Iniciales ,Definitivas ,,,Reconocidas ,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,,13210,11000,RETRIB. BASICAS JEFE POLICIA,,,57400.0,57400.0,45081.63,45081.63,45081.63,,45081.63,12318.37
1,,13210,11001,RETRIBUCIONES COMPLEMENTARIAS JEFE POLIC,,,0.0,0.0,695.99,695.99,695.99,,695.99,-695.99
1,,13210,12002,RETRIBUCIONES BASICAS POLICIA NIVEL B,,,22200.0,22200.0,17318.26,17318.26,17318.26,,17318.26,4881.74
1,,13210,12003,RETRIB.BASICAS PERSONAL POLICIA,,,352000.0,352000.0,215615.18,215615.18,215615.18,,215615.18,136384.82
1,,13210,12004,RETRIB. BASICAS AUXILIARES POLICIA,,,48000.0,48000.0,11719.21,11719.21,11719.21,,11719.21,36280.79
1,,13210,12006,ANTIGÜEDAD PERSONAL POLICIA,,,14000.0,14000.0,8664.52,8664.52,8664.52,,8664.52,5335.48
1,,13210,12007,RETRIBUCION GRADO PERSONAL POLICIA,,,60000.0,60000.0,41349.22,41349.22,41349.22,,41349.22,18650.78
1,,13210,12103,RETRIB.COMPLEMENTARIAS PERSONAL POLICIA,,,360000.0,360000.0,234950.14,234950.14,234950.14,,234950.14,125049.86
1,,13210,12403,SUELDO NIVEL C FUNCIONARIO PRACTICAS,,,0.0,0.0,26715.89,26715.89,26715.89,,26715.89,-26715.89
1,,13210,12406,ANTIGUEDAD PERSONAL FUNC.PRACTICAS,,,0.0,0.0,350.3,350.3,350.3,,350.3,-350.3
1,,13210,16000,SEGURIDAD SOCIAL PERSONAL POLICIA Y AUXI,,,230000.0,230000.0,230000.0,230000.0,134103.86,,134103.86,0.0
1,,13210,16200,FORMACION AGENTES DE POLICIA,,,2000.0,2000.0,60.0,60.0,60.0,,60.0,1940.0
1,,13210,16400,AYUDA FAMILIAR AGENTES POLICIA Y AUXILIA,,,12000.0,12000.0,7995.45,7995.45,7995.45,,7995.45,4004.55
1,,15100,12000,RETRIB. BASICAS PERSONAL ARQUITECTURA UR,,,52600.0,52600.0,41154.95,41154.95,41154.95,,41154.95,11445.05
